"Story","Title","Result","Date","Stability","Duration (s)"
"Ingresar al pagina www.","Ingresar a la Pagina web y registrarse","PENDING","2023-11-18T16:58:32.3916238-05:00[America/Bogota]","0.0","0.22"
"Ingresar al pagina www.","Ingresar a la Pagina web y ingresar a la opcion cart","SUCCESS","2023-11-18T18:13:13.0445723-05:00[America/Bogota]","0.0","15.63"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la pagina y ingresar un producto al carro y eliminarlo","SUCCESS","2023-11-18T21:27:21.7314522-05:00[America/Bogota]","0.0","17.86"
"Ingresar al Portal Web demoblaze.com","Ingresar a la pagina y ingresar un producto al carro y eliminarlo","SUCCESS","2023-11-19T11:51:11.5854213-05:00[America/Bogota]","0.0","18.61"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la pagina y ingresar un producto  al carro de compras","SUCCESS","2023-11-18T21:28:37.9286275-05:00[America/Bogota]","0.0","14.34"
"Ingresar al Portal Web","Ingresar a la pagina y ingresar un producto  al carro de compras","SUCCESS","2023-11-18T21:29:50.3039863-05:00[America/Bogota]","0.0","14.57"
"Ingresar al Portal Web demoblaze.com","Ingresar a la pagina y ingresar un producto  al carro de compras","SUCCESS","2023-11-19T11:40:06.1905138-05:00[America/Bogota]","0.0","11.5"
"Ingresar en la pagina","Ingresar a la Pagina web y ingresar un producto al carro","SUCCESS","2023-11-18T16:41:53.5588153-05:00[America/Bogota]","0.0","8.7"
"Ingresar  al link https://www.demoblaze.com/","Ingresar a la Pagina web y registrarse","ERROR","2023-11-17T22:03:18.080839-05:00[America/Bogota]","0.0","0.32"
"Ingresar  al link www.demoblaze.com","Ingresar a la Pagina web y registrarse","ERROR","2023-11-17T22:04:50.6097648-05:00[America/Bogota]","0.0","0.33"
"Ingresar al link www.demoblaze.com","Ingresar a la Pagina web y registrarse","ERROR","2023-11-17T22:08:31.7570506-05:00[America/Bogota]","0.0","0.31"
"Ingresar al link","Ingresar a la Pagina web y registrarse","SUCCESS","2023-11-18T15:26:16.6359799-05:00[America/Bogota]","0.0","22.9"
"Ingresar al link","Ingresar a la Pagina web y loguearse","SUCCESS","2023-11-18T15:57:40.3858795-05:00[America/Bogota]","0.0","98.0"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina web y loguear los usuarios","SUCCESS","2023-11-19T11:40:19.5510148-05:00[America/Bogota]","0.0","11.91"
"Ingresar al portalesd","Ingresar a la Pagina web y abrir la opcion About us","SUCCESS","2023-11-18T20:00:11.6794248-05:00[America/Bogota]","0.0","18.5"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la Pagina sesión About dar Play al video esparar 5 segundo  y Cerrarlo","ERROR","2023-11-18T21:04:26.4367281-05:00[America/Bogota]","0.0","1.06"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la Pagina sesion About dar Play al video esparar 5 segundo  y Cerrarlo","ERROR","2023-11-18T21:05:02.4325658-05:00[America/Bogota]","0.0","0.99"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la Pagina sesion About dar Play al video esparar 5 segundo yCerrarlo","ERROR","2023-11-18T21:06:01.4691099-05:00[America/Bogota]","0.0","1.0"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la Pagina sesion About dar Play al video y cerrar","ERROR","2023-11-18T21:06:43.8299776-05:00[America/Bogota]","0.0","0.98"
"Ingresar al link www.demoblaze.com","Ingresar a la Pagina sesion About dar Play al video y cerrar","ERROR","2023-11-18T21:07:58.1906235-05:00[America/Bogota]","0.0","0.99"
"Ingresar al link de la pagina","Ingresar a la Pagina sesion About dar Play al video y cerrar","SUCCESS","2023-11-18T21:16:40.7712237-05:00[America/Bogota]","0.0","28.67"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina sesion About dar Play al video y cerrar","SUCCESS","2023-11-19T11:40:31.6950697-05:00[America/Bogota]","0.0","12.47"
"Ingresar al portale","Ingresar a la Pagina web y pedir","ERROR","2023-11-18T19:26:17.3599345-05:00[America/Bogota]","0.0","30.61"
"Ingresar al Portal Web","Ingresar a la pagina y registrar un Pedido","SUCCESS","2023-11-19T11:06:27.5784165-05:00[America/Bogota]","0.0","23.99"
"Ingresar al Portal Web demoblaze.com","Ingresar a la pagina y registrar un Pedido","SUCCESS","2023-11-24T21:08:56.7313308-05:00[America/Bogota]","0.0","33.54"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina web y registrar los usuarios","SUCCESS","2023-11-19T11:41:27.5767327-05:00[America/Bogota]","0.0","61.17"
